Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
One Piece Film Red,2022,"['Animation', 'Adventure', 'Action', 'Fantasy']",Goro Taniguchi,1h 55m,73.0,Released,Japanese,-,"$150,797,338.00"
Fast & Furious Presents: Hobbs & Shaw,2019,"['Action', 'Adventure', 'Comedy']",Chris Morgan,2h 17m,69.0,Released,English,"$200,000,000.00","$760,098,996.00"
National Lampoon's Christmas Vacation,1989,['Comedy'],Jeremiah S. Chechik,1h 37m,72.0,Released,English,"$27,000,000.00","$71,319,546.00"
Inception,2010,"['Action', 'Science Fiction', 'Adventure']",Christopher Nolan,2h 28m,84.0,Released,English,"$160,000,000.00","$825,532,764.00"
Shazam! Fury of the Gods,2023,"['Comedy', 'Action', 'Fantasy']",C.C. Beck,2h 10m,66.0,Released,English,"$125,000,000.00","$133,838,006.00"
"Ruby Gillman, Teenage Kraken",2023,"['Animation', 'Family', 'Fantasy', 'Comedy']",Kirk DeMicco,1h 31m,74.0,Released,English,"$70,000,000.00","$43,700,000.00"
The Avengers,2012,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,2h 23m,77.0,Released,English,"$220,000,000.00","$1,518,815,515.00"
Good Boy,2022,"['Horror', 'Thriller']",Viljar Bøe,1h 15m,68.0,Released,Norwegian,"$8,500.00",-
Migration,2023,"['Animation', 'Comedy', 'Adventure', 'Family']",Benjamin Renner,1h 23m,77.0,Released,English,-,-
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,2h 23m,78.0,Released,English,"$140,000,000.00","$655,011,224.00"
Around the World in 80 Days,2021,"['Animation', 'Family']",Samuel Tourneux,1h 22m,54.0,Released,French,"$20,000,000.00",-
Garfield,2004,"['Animation', 'Comedy', 'Family']",Peter Hewitt,1h 20m,57.0,Released,English,"$50,000,000.00","$200,804,534.00"
Renegades,2022,"['Action', 'Crime', 'Thriller']",Daniel Zirilli,1h 31m,51.0,Released,English,"$4,000,000.00",-
Shang-Chi and the Legend of the Ten Rings,2021,"['Action', 'Adventure', 'Fantasy']",Destin Daniel Cretton,2h 12m,76.0,Released,English,"$150,000,000.00","$432,243,292.00"
Casper Meets Wendy,1998,"['Family', 'Fantasy', 'TV Movie']",Jymn Magon,1h 30m,60.0,Released,English,-,-
The Lion King,2019,"['Adventure', 'Drama', 'Family', 'Animation']",Linda Woolverton,1h 58m,71.0,Released,English,"$260,000,000.00","$1,663,000,000.00"
Sisu,2023,"['Action', 'War']",Jalmari Helander,1h 31m,75.0,Released,Finnish,"$6,200,000.00","$13,009,289.00"
